acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0685,https://api.spotify.com/v1/audio-analysis/4qikXelSRKvoCqFcHLB2H2,0.563,329320,0.496,4qikXelSRKvoCqFcHLB2H2,5.8e-05,6,0.173,-9.381,0,0.406,139.993,4,https://api.spotify.com/v1/tracks/4qikXelSRKvoCqFcHLB2H2,audio_features,spotify:track:4qikXelSRKvoCqFcHLB2H2,0.426
0.118,https://api.spotify.com/v1/audio-analysis/4KW1lqgSr8TKrvBII0Brf8,0.724,135920,0.573,4KW1lqgSr8TKrvBII0Brf8,0,7,0.538,-4.113,1,0.0549,113.088,4,https://api.spotify.com/v1/tracks/4KW1lqgSr8TKrvBII0Brf8,audio_features,spotify:track:4KW1lqgSr8TKrvBII0Brf8,0.438
0.00244,https://api.spotify.com/v1/audio-analysis/1ZHYJ2Wwgxes4m8Ba88PeK,0.628,378893,0.692,1ZHYJ2Wwgxes4m8Ba88PeK,0.0129,2,0.668,-5.64,1,0.202,124.887,5,https://api.spotify.com/v1/tracks/1ZHYJ2Wwgxes4m8Ba88PeK,audio_features,spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,0.0963
0.62,https://api.spotify.com/v1/audio-analysis/1eQBEelI2NCy7AUTerX0KS,0.592,320680,0.403,1eQBEelI2NCy7AUTerX0KS,0,0,0.54,-8.768,0,0.414,105.169,4,https://api.spotify.com/v1/tracks/1eQBEelI2NCy7AUTerX0KS,audio_features,spotify:track:1eQBEelI2NCy7AUTerX0KS,0.391
0.145,https://api.spotify.com/v1/audio-analysis/3sNVsP50132BTNlImLx70i,0.367,229147,0.665,3sNVsP50132BTNlImLx70i,0,1,0.113,-2.821,1,0.0465,148.913,4,https://api.spotify.com/v1/tracks/3sNVsP50132BTNlImLx70i,audio_features,spotify:track:3sNVsP50132BTNlImLx70i,0.31
0.165,https://api.spotify.com/v1/audio-analysis/4cAgkb0ifwn0FSHGXnr4F6,0.506,256093,0.59,4cAgkb0ifwn0FSHGXnr4F6,1.09e-05,1,0.096,-4.322,1,0.076,141.099,4,https://api.spotify.com/v1/tracks/4cAgkb0ifwn0FSHGXnr4F6,audio_features,spotify:track:4cAgkb0ifwn0FSHGXnr4F6,0.359
0.395,https://api.spotify.com/v1/audio-analysis/42GcjriRK6srwHkfbkBqVl,0.397,359800,0.69,42GcjriRK6srwHkfbkBqVl,0,2,0.101,-4.108,0,0.195,172.073,4,https://api.spotify.com/v1/tracks/42GcjriRK6srwHkfbkBqVl,audio_features,spotify:track:42GcjriRK6srwHkfbkBqVl,0.36
0.0011,https://api.spotify.com/v1/audio-analysis/722tgOgdIbNe3BEyLnejw4,0.766,188013,0.809,722tgOgdIbNe3BEyLnejw4,0,1,0.168,-6.123,1,0.279,130.127,4,https://api.spotify.com/v1/tracks/722tgOgdIbNe3BEyLnejw4,audio_features,spotify:track:722tgOgdIbNe3BEyLnejw4,0.325
0.123,https://api.spotify.com/v1/audio-analysis/3U21A07gAloCc4P7J8rxcn,0.925,145507,0.31,3U21A07gAloCc4P7J8rxcn,0,11,0.0931,-6.531,0,0.291,121.927,4,https://api.spotify.com/v1/tracks/3U21A07gAloCc4P7J8rxcn,audio_features,spotify:track:3U21A07gAloCc4P7J8rxcn,0.291
0.219,https://api.spotify.com/v1/audio-analysis/3DK6m7It6Pw857FcQftMds,0.374,547733,0.568,3DK6m7It6Pw857FcQftMds,0.00219,1,0.513,-3.825,0,0.109,84.733,4,https://api.spotify.com/v1/tracks/3DK6m7It6Pw857FcQftMds,audio_features,spotify:track:3DK6m7It6Pw857FcQftMds,0.111
0.0711,https://api.spotify.com/v1/audio-analysis/19a3JfW8BQwqHWUMbcqSx8,0.465,196040,0.735,19a3JfW8BQwqHWUMbcqSx8,0,6,0.0975,-3.715,1,0.117,173.935,4,https://api.spotify.com/v1/tracks/19a3JfW8BQwqHWUMbcqSx8,audio_features,spotify:track:19a3JfW8BQwqHWUMbcqSx8,0.409
0.0161,https://api.spotify.com/v1/audio-analysis/2gZUPNdnz5Y45eiGxpHGSc,0.542,292093,0.914,2gZUPNdnz5Y45eiGxpHGSc,0,0,0.744,-4.747,0,0.113,153.993,4,https://api.spotify.com/v1/tracks/2gZUPNdnz5Y45eiGxpHGSc,audio_features,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,0.576
0.262,https://api.spotify.com/v1/audio-analysis/66Q3fAmSX5eHamgbKa9alP,0.441,251573,0.744,66Q3fAmSX5eHamgbKa9alP,0.000382,6,0.138,-6.248,0,0.476,81.396,4,https://api.spotify.com/v1/tracks/66Q3fAmSX5eHamgbKa9alP,audio_features,spotify:track:66Q3fAmSX5eHamgbKa9alP,0.124
0.246,https://api.spotify.com/v1/audio-analysis/0zLClc0emc6qUeV1p5nc99,0.508,374413,0.921,0zLClc0emc6qUeV1p5nc99,0,5,0.221,-1.644,1,0.303,93.058,4,https://api.spotify.com/v1/tracks/0zLClc0emc6qUeV1p5nc99,audio_features,spotify:track:0zLClc0emc6qUeV1p5nc99,0.681
0.594,https://api.spotify.com/v1/audio-analysis/5CGS4UovzA7ftCJkLVXQju,0.756,44827,0.374,5CGS4UovzA7ftCJkLVXQju,0,5,0.217,-7.966,1,0.741,80.326,4,https://api.spotify.com/v1/tracks/5CGS4UovzA7ftCJkLVXQju,audio_features,spotify:track:5CGS4UovzA7ftCJkLVXQju,0.966
0.219,https://api.spotify.com/v1/audio-analysis/432hUIl3ISDeytYW5XBQ5h,0.395,301587,0.392,432hUIl3ISDeytYW5XBQ5h,0.00173,1,0.134,-8.034,1,0.0925,155.856,4,https://api.spotify.com/v1/tracks/432hUIl3ISDeytYW5XBQ5h,audio_features,spotify:track:432hUIl3ISDeytYW5XBQ5h,0.103
0.0195,https://api.spotify.com/v1/audio-analysis/1PS1QMdUqOal0ai3Gt7sDQ,0.629,207627,0.696,1PS1QMdUqOal0ai3Gt7sDQ,0,1,0.0554,-5.572,0,0.348,93.034,4,https://api.spotify.com/v1/tracks/1PS1QMdUqOal0ai3Gt7sDQ,audio_features,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,0.623
0.552,https://api.spotify.com/v1/audio-analysis/1Wsbr1d2BouNGk2q92mIj7,0.674,130293,0.752,1Wsbr1d2BouNGk2q92mIj7,0,11,0.787,-4.073,1,0.333,145.076,4,https://api.spotify.com/v1/tracks/1Wsbr1d2BouNGk2q92mIj7,audio_features,spotify:track:1Wsbr1d2BouNGk2q92mIj7,0.236
0.0969,https://api.spotify.com/v1/audio-analysis/7vgTNTaEz3CsBZ1N4YQalM,0.573,271387,0.545,7vgTNTaEz3CsBZ1N4YQalM,0,7,0.329,-4.247,0,0.0288,83.378,4,https://api.spotify.com/v1/tracks/7vgTNTaEz3CsBZ1N4YQalM,audio_features,spotify:track:7vgTNTaEz3CsBZ1N4YQalM,0.297
0.329,https://api.spotify.com/v1/audio-analysis/30Zcjs7pgEkmJA1lEbGSWT,0.527,236120,0.415,30Zcjs7pgEkmJA1lEbGSWT,0,5,0.195,-7.184,1,0.131,125.357,4,https://api.spotify.com/v1/tracks/30Zcjs7pgEkmJA1lEbGSWT,audio_features,spotify:track:30Zcjs7pgEkmJA1lEbGSWT,0.12
0.0528,https://api.spotify.com/v1/audio-analysis/3nAq2hCr1oWsIU54tS98pL,0.557,181573,0.586,3nAq2hCr1oWsIU54tS98pL,7.33e-06,10,0.339,-4.57,1,0.0382,96.091,4,https://api.spotify.com/v1/tracks/3nAq2hCr1oWsIU54tS98pL,audio_features,spotify:track:3nAq2hCr1oWsIU54tS98pL,0.0681
0.0122,https://api.spotify.com/v1/audio-analysis/2MIBAmYwiuGoKUlpq9B9sZ,0.596,271600,0.62,2MIBAmYwiuGoKUlpq9B9sZ,0,5,0.82,-6.133,0,0.039,80.029,4,https://api.spotify.com/v1/tracks/2MIBAmYwiuGoKUlpq9B9sZ,audio_features,spotify:track:2MIBAmYwiuGoKUlpq9B9sZ,0.102
0.0108,https://api.spotify.com/v1/audio-analysis/3uYDO9dPLTVrgfwg7EYXSf,0.877,147905,0.435,3uYDO9dPLTVrgfwg7EYXSf,1.88e-06,0,0.115,-8.131,1,0.136,98.008,4,https://api.spotify.com/v1/tracks/3uYDO9dPLTVrgfwg7EYXSf,audio_features,spotify:track:3uYDO9dPLTVrgfwg7EYXSf,0.589
0.0739,https://api.spotify.com/v1/audio-analysis/79reBHqpRoWXaQbjBBY3UC,0.861,310907,0.651,79reBHqpRoWXaQbjBBY3UC,0,9,0.211,-4.718,0,0.111,122.985,4,https://api.spotify.com/v1/tracks/79reBHqpRoWXaQbjBBY3UC,audio_features,spotify:track:79reBHqpRoWXaQbjBBY3UC,0.421
0.0194,https://api.spotify.com/v1/audio-analysis/5nIu0VwPOsjkF61zfevLKh,0.497,326947,0.322,5nIu0VwPOsjkF61zfevLKh,7.72e-06,8,0.115,-10.358,1,0.0333,106.976,4,https://api.spotify.com/v1/tracks/5nIu0VwPOsjkF61zfevLKh,audio_features,spotify:track:5nIu0VwPOsjkF61zfevLKh,0.04
0.0207,https://api.spotify.com/v1/audio-analysis/23SZWX2IaDnxmhFsSLvkG2,0.598,357653,0.713,23SZWX2IaDnxmhFsSLvkG2,0.000175,6,0.431,-3.625,0,0.0326,91.964,4,https://api.spotify.com/v1/tracks/23SZWX2IaDnxmhFsSLvkG2,audio_features,spotify:track:23SZWX2IaDnxmhFsSLvkG2,0.118
